0|0|0|0|0|1|1|1|0.0|0.0|1|1|0|0|0|0|0|100|0|0|0|0|1|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1.00|0|0|||0|0||||0|0|0|0|0|0|0||0|0|0|0|0||0|0
1|1|1|1|1|2|2|1|2.0|2.5|5|1|2|1|80|150|120|100|100|6|1|1000|76|129|42|71|13|24|200|67|39|8|20|0|2|264|0|0|0|0|0|-5|1|1.00|0|0|||0|0||||0|0|0|0|0|0|0||14|1|1|0|0||0|0
2|1|2|1|1|3|3|2|2.0|2.5|15|2|2|1|80|300|240|200|100|11|2|4000|206|364|113|200|34|68|804|268|78|16|40|0|3|246|241|264|0|0|0|-5|1|1.00|0|0|||0|0||||0|0|0|0|1|0|0||14|1|1|0|0||0|0
3|1|3|1|1|4|4|4|3.0|4.0|35|3|2|2|80|500|480|300|100|22|4|16000|431|801|237|440|72|151|3216|1072|157|31|162|0|4|251|256|267|264|265|0|-5|3|1.00|0|0|||0|0||||0|0|0|0|2|0|0||14|1|1|0|0||0|0
4|1|4|1|1|5|5|9|5.0|4.0|99|6|2|2|104|900|870|400|100|45|7|0|836|1881|460|1035|139|364|12897|4299|314|63|313|0|408|429|256|256|269|266|0|-15|5|1.00|0|1|||0|0||||0|0|0|0|3|0|0||14|1|1|0|0||0|0
5|1|1|1|2|2|2|1|2.0|2.5|5|1|2|3|81|150|120|100|100|6|1|1000|80|136|45|76|11|21|196|65|41|8|20|0|6|264|0|0|0|0|0|-5|3|1.00|0|0|||0|0||||0|0|0|0|0|0|0||15|1|1|0|0||0|0
6|1|2|1|2|3|3|2|2.0|2.5|15|2|2|3|81|300|240|200|100|11|2|4000|217|384|121|214|30|60|788|263|82|16|40|0|7|247|242|264|0|0|0|-5|3|1.00|0|0|||0|0||||0|0|0|0|5|0|0||15|1|1|0|0||0|0
7|1|3|1|2|4|4|4|4.0|4.0|35|3|2|4|81|500|480|300|100|22|4|16000|453|842|253|470|64|135|3152|1051|163|33|158|0|8|252|257|267|264|265|0|-15|5|1.00|0|0|||0|0||||0|0|0|0|6|0|0||15|1|1|0|0||0|0
8|1|4|1|2|5|5|9|6.0|4.0|99|6|2|4|105|900|870|400|100|45|7|0|880|1980|492|1107|124|324|12641|4214|326|65|307|0|409|429|257|257|269|266|35|-10|5|1.00|0|1|||0|0||||0|0|0|0|7|0|0||15|1|1|0|0||0|0
9|1|1|1|3|2|2|1|2.0|2.5|5|1|2|5|82|150|120|100|100|6|1|1000|88|149|39|66|12|23|201|67|39|8|20|0|10|264|0|0|0|0|10|-10|2|1.00|0|0|||0|0||||0|0|0|0|0|0|0||16|1|1|0|0||0|0
